epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.7619,0.79166,1.84806,1.19682,1,0.23665,0.89444,0.75242,0.52606,2.80079,0.95374,0.00048,0.00048,0.00048
2,157.263,0.77552,1.17885,1.0915,0.90879,0.76644,0.87655,0.68709,0.74477,2.26262,1.17547,0.000960596,0.000960596,0.000960596
3,232.366,0.80349,1.14784,1.17401,0.75948,0.5641,0.67035,0.44476,0.85183,2.37112,1.27718,0.00142139,0.00142139,0.00142139
4,306.694,0.85483,1.1062,1.18677,0.238,0.23077,0.18663,0.10261,1.66527,3.02174,1.92664,0.00186239,0.00186239,0.00186239
5,381.09,0.84701,1.05748,1.20887,0.45867,0.30769,0.31092,0.16734,1.25599,3.63986,1.64314,0.0018416,0.0018416,0.0018416
6,455.711,0.83002,0.94095,1.1821,0.11493,0.32051,0.08289,0.04453,1.3524,3.95203,1.83094,0.001802,0.001802,0.001802
7,534.291,0.80574,0.8676,1.16228,0.85748,0.87179,0.94048,0.77512,0.7102,1.47865,1.19341,0.0017624,0.0017624,0.0017624
8,610.939,0.80477,0.82235,1.13951,0.8673,0.84615,0.93022,0.67668,0.85526,2.00006,1.30696,0.0017228,0.0017228,0.0017228
9,687.034,0.7708,0.74667,1.12926,0.82888,0.74359,0.85703,0.67922,0.75493,1.91104,1.10213,0.0016832,0.0016832,0.0016832
10,762.907,0.77661,0.72883,1.11018,0.97462,0.98458,0.98765,0.80728,0.66771,0.7433,1.1359,0.0016436,0.0016436,0.0016436
11,841.126,0.74636,0.71452,1.13464,0.83339,0.89778,0.92337,0.74712,0.73898,1.05116,1.14152,0.001604,0.001604,0.001604
12,923.227,0.75824,0.67358,1.10951,0.95817,1,0.9877,0.84526,0.65935,0.86531,1.0173,0.0015644,0.0015644,0.0015644
13,1002.75,0.73476,0.62893,1.10681,0.86387,0.81362,0.94836,0.83374,0.56993,0.96597,0.96921,0.0015248,0.0015248,0.0015248
14,1078.03,0.7,0.5919,1.09294,1,0.94633,0.98538,0.8167,0.63712,0.71014,1.04722,0.0014852,0.0014852,0.0014852
15,1155.32,0.74903,0.61596,1.10201,0.97487,0.99463,0.99424,0.87201,0.51806,0.66133,0.93946,0.0014456,0.0014456,0.0014456
16,1238.15,0.70278,0.57549,1.08645,0.99812,1,0.995,0.88385,0.53894,0.50687,0.94902,0.001406,0.001406,0.001406
17,1317.53,0.68116,0.54747,1.07849,0.96207,0.97558,0.98691,0.89471,0.51076,0.55857,0.93296,0.0013664,0.0013664,0.0013664
18,1401.59,0.69103,0.54522,1.08477,0.94869,1,0.98685,0.85975,0.56862,0.508,0.96999,0.0013268,0.0013268,0.0013268
19,1475.75,0.69363,0.53537,1.07639,0.99396,1,0.995,0.87392,0.54074,0.49328,0.94324,0.0012872,0.0012872,0.0012872
20,1550.07,0.6859,0.53272,1.07442,0.98284,1,0.99475,0.86722,0.56503,0.53316,0.94127,0.0012476,0.0012476,0.0012476
21,1623.58,0.67384,0.50983,1.06782,0.99648,1,0.995,0.8933,0.50772,0.48447,0.9266,0.001208,0.001208,0.001208
22,1698.22,0.65456,0.50615,1.05358,0.99865,1,0.995,0.90503,0.49428,0.41344,0.9213,0.0011684,0.0011684,0.0011684
23,1773.69,0.64507,0.48611,1.05628,0.98483,1,0.99487,0.89529,0.48879,0.4967,0.91713,0.0011288,0.0011288,0.0011288
24,1848.72,0.63335,0.47434,1.04749,0.99851,1,0.995,0.89853,0.44332,0.37532,0.88044,0.0010892,0.0010892,0.0010892
25,1923.76,0.6721,0.50149,1.05915,0.99754,1,0.995,0.89698,0.50788,0.43741,0.92378,0.0010496,0.0010496,0.0010496
26,1998.64,0.66134,0.47938,1.06372,0.99903,1,0.995,0.90469,0.46773,0.36817,0.89678,0.00101,0.00101,0.00101
27,2072.83,0.59876,0.44595,1.03946,0.98696,1,0.995,0.91816,0.45771,0.34027,0.87598,0.0009704,0.0009704,0.0009704
28,2147.56,0.58418,0.42413,1.01826,0.99887,1,0.995,0.90002,0.45241,0.35152,0.88938,0.0009308,0.0009308,0.0009308
29,2222.31,0.62157,0.45862,1.0584,0.99916,1,0.995,0.90898,0.46298,0.34076,0.89401,0.0008912,0.0008912,0.0008912
30,2297.13,0.61201,0.43291,1.03189,0.99815,1,0.995,0.90711,0.46937,0.33544,0.88791,0.0008516,0.0008516,0.0008516
31,2371.12,0.58777,0.42362,1.0186,0.98645,1,0.99424,0.92502,0.42447,0.32861,0.87557,0.000812,0.000812,0.000812
32,2450.03,0.5801,0.40839,1.02829,0.99914,1,0.995,0.93488,0.44519,0.32325,0.87482,0.0007724,0.0007724,0.0007724
33,2528.81,0.57611,0.40957,1.01324,0.99886,1,0.995,0.91329,0.4485,0.31909,0.88135,0.0007328,0.0007328,0.0007328
34,2603.37,0.56641,0.3979,1.00289,0.99897,1,0.995,0.90154,0.48378,0.32374,0.88817,0.0006932,0.0006932,0.0006932
35,2675.59,0.57232,0.39258,1.01406,0.99905,1,0.995,0.93524,0.40952,0.305,0.86858,0.0006536,0.0006536,0.0006536
36,2748.21,0.53826,0.39848,0.99665,0.99921,1,0.995,0.93234,0.41628,0.2915,0.86495,0.000614,0.000614,0.000614
37,2820.46,0.55677,0.3832,1.00111,0.99914,1,0.995,0.92862,0.40689,0.26989,0.8586,0.0005744,0.0005744,0.0005744
38,2893.98,0.54967,0.37429,0.99033,0.99857,1,0.995,0.9277,0.42365,0.2876,0.87131,0.0005348,0.0005348,0.0005348
39,2966.45,0.52748,0.36734,0.98746,0.99916,1,0.995,0.93691,0.40552,0.26753,0.8561,0.0004952,0.0004952,0.0004952
40,3038.4,0.54844,0.35206,0.99724,0.99923,1,0.995,0.94304,0.38598,0.25939,0.84398,0.0004556,0.0004556,0.0004556
41,3108.79,0.46521,0.34667,0.94384,0.99918,1,0.995,0.90406,0.47538,0.32125,0.87801,0.000416,0.000416,0.000416
42,3180.12,0.44172,0.31057,0.91836,0.99889,1,0.995,0.93789,0.38009,0.26611,0.85287,0.0003764,0.0003764,0.0003764
43,3257.89,0.42828,0.29646,0.92221,0.99924,1,0.995,0.94058,0.43932,0.28884,0.86637,0.0003368,0.0003368,0.0003368
44,3336.22,0.4443,0.29583,0.93046,0.99924,1,0.995,0.95169,0.38135,0.26497,0.84281,0.0002972,0.0002972,0.0002972
45,3409.77,0.43655,0.28683,0.90472,0.99924,1,0.995,0.9405,0.40032,0.25183,0.84484,0.0002576,0.0002576,0.0002576
46,3484.01,0.43195,0.28394,0.9108,0.99921,1,0.995,0.94059,0.41485,0.25097,0.85099,0.000218,0.000218,0.000218
47,3557.41,0.41042,0.26721,0.91801,0.99922,1,0.995,0.94103,0.39851,0.25389,0.84352,0.0001784,0.0001784,0.0001784
48,3640.94,0.3989,0.25552,0.89595,0.99927,1,0.995,0.94443,0.4036,0.24651,0.84662,0.0001388,0.0001388,0.0001388
49,3723.45,0.40326,0.26369,0.91013,0.99928,1,0.995,0.94979,0.4004,0.24313,0.8454,9.92e-05,9.92e-05,9.92e-05
50,3806.54,0.39932,0.25586,0.89642,0.99928,1,0.995,0.94862,0.40071,0.24078,0.8454,5.96e-05,5.96e-05,5.96e-05
